anatomical_entity	quality	quality_label
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003024	PATO:0000587	decreased size
XAO:0003025	PATO:0000587	decreased size
XAO:0003025	PATO:0000587	decreased size
XAO:0003025	PATO:0000587	decreased size
XAO:0003025	PATO:0000587	decreased size
XAO:0003025	PATO:0000587	decreased size
XAO:0003025	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003026	PATO:0000587	decreased size
XAO:0003029	PATO:0000587	decreased size
XAO:0003029	PATO:0000587	decreased size
XAO:0003029	PATO:0000587	decreased size
XAO:0003029	PATO:0000587	decreased size
XAO:0003029	PATO:0000587	decreased size
XAO:0003029	PATO:0000587	decreased size
XAO:0003029	PATO:0000587	decreased size
XAO:0003029	PATO:0000587	decreased size
XAO:0003029	PATO:0000587	decreased size
XAO:0003030	PATO:0000587	decreased size
XAO:0003059	PATO:0000587	decreased size
XAO:0003059	PATO:0000587	decreased size
XAO:0003066	PATO:0000587	decreased size
